Time,U,V,W
0.30474966,-0.55126836,0.0080994598,-1.8152877e-07
0.30574966,-0.55495522,0.0081680055,-1.8308937e-07
0.30674966,-0.55865567,0.0082435497,-1.8525808e-07
0.30774966,-0.56237568,0.0083252845,-1.8658715e-07
0.30874966,-0.56610676,0.0084096825,-1.8734745e-07
0.30974966,-0.56985051,0.0084950925,-1.8574921e-07
0.31074966,-0.57359984,0.0085785418,-1.8972624e-07
0.31174966,-0.57736105,0.0086581656,-1.8977628e-07
0.31274966,-0.58111936,0.0087282467,-1.9167789e-07
0.31374966,-0.58486934,0.0087875083,-1.9128115e-07
0.31474966,-0.58860132,0.0088321208,-1.9282773e-07
0.31574966,-0.59231707,0.0088610504,-1.9397986e-07
0.31674966,-0.59601677,0.0088743175,-1.9700297e-07
0.31774966,-0.59969423,0.0088697174,-1.9687464e-07
0.31874966,-0.60335044,0.008847405,-1.9747935e-07
0.31974966,-0.60698451,0.0088088146,-1.9866697e-07
0.32074966,-0.61060805,0.0087579436,-1.9901981e-07
0.32174966,-0.61420841,0.0086952463,-2.0002995e-07
0.32274966,-0.61779154,0.0086247324,-1.9895205e-07
0.32374966,-0.6213536,0.0085513583,-1.9822047e-07
0.32474966,-0.62489567,0.0084867258,-2.0228001e-07
0.32574966,-0.62840768,0.0084412603,-2.0344806e-07
0.32674966,-0.63189262,0.0084228982,-2.0271636e-07
0.32774966,-0.63534758,0.0084364932,-2.0355003e-07
0.32874966,-0.63876439,0.0084846239,-2.0405746e-07
0.32974966,-0.64214027,0.0085695327,-2.0525429e-07
0.33074966,-0.64545921,0.0086930925,-2.1371986e-07
0.33174966,-0.6487182,0.0088539769,-2.0747423e-07
0.33274966,-0.65191701,0.0090491213,-2.1018265e-07
0.33374966,-0.65504917,0.0092750678,-2.1038029e-07
0.33474966,-0.65812009,0.0095248876,-2.1059338e-07
0.33574966,-0.66112176,0.0097906235,-2.1040175e-07
0.33674966,-0.66404367,0.010062155,-2.1210982e-07
0.33774966,-0.66688142,0.010328204,-2.1174571e-07
0.33874966,-0.6696316,0.010576718,-2.114773e-07
0.33974966,-0.6722919,0.01079593,-2.0922813e-07
0.34074966,-0.674859,0.010975173,-2.0736275e-07
0.34174966,-0.67733826,0.011105372,-2.086801e-07
0.34274966,-0.6797313,0.011180975,-2.0738868e-07
0.34374966,-0.68204361,0.01119927,-2.0492165e-07
0.34474966,-0.68428235,0.011159326,-2.045639e-07
0.34574966,-0.68645481,0.011065232,-2.0151585e-07
0.34674966,-0.68856765,0.010924701,-2.0040572e-07
0.34774966,-0.69062443,0.010748029,-1.9675046e-07
0.34874966,-0.69262695,0.010547522,-1.9474916e-07
0.34974966,-0.69457738,0.010336023,-1.9301873e-07
0.35074966,-0.69647892,0.010125999,-1.9005733e-07
0.35174966,-0.69833352,0.0099289085,-1.9128655e-07
0.35274966,-0.70014015,0.0097545779,-1.8855973e-07
