"shear_lam","shear_tot","shear_turb","y_plus","Points:0","Points:1","Points:2"
4.0368e-05,0.0014663,0.001426,198.19,900,5.6183,0
4.0295e-05,0.0014632,0.0014229,199.13,900,5.6448,0
4.0222e-05,0.0014601,0.0014198,200.06,900,5.6712,0
4.0162e-05,0.0014567,0.0014165,200.99,900,5.6977,0
4.0106e-05,0.0014533,0.0014132,201.93,900,5.7242,0
4.0049e-05,0.0014498,0.0014098,202.86,900,5.7507,0
3.9993e-05,0.0014464,0.0014064,203.8,900,5.7772,0
3.9939e-05,0.0014429,0.001403,204.73,900,5.8037,0
3.9892e-05,0.0014391,0.0013992,205.67,900,5.8301,0
3.9845e-05,0.0014353,0.0013954,206.6,900,5.8566,0
3.9797e-05,0.0014315,0.0013917,207.53,900,5.8831,0
3.975e-05,0.0014277,0.0013879,208.47,900,5.9096,0
3.9708e-05,0.0014237,0.001384,209.4,900,5.9361,0
3.9667e-05,0.0014196,0.0013799,210.34,900,5.9626,0
3.9627e-05,0.0014155,0.0013759,211.27,900,5.989,0
3.9587e-05,0.0014114,0.0013718,212.21,900,6.0155,0
3.9547e-05,0.0014073,0.0013678,213.14,900,6.042,0
3.9503e-05,0.0014031,0.0013636,214.07,900,6.0685,0
3.9459e-05,0.001399,0.0013595,215.01,900,6.095,0
3.9416e-05,0.0013948,0.0013553,215.94,900,6.1215,0
3.9372e-05,0.0013906,0.0013512,216.88,900,6.148,0
3.9326e-05,0.0013864,0.001347,217.81,900,6.1744,0
3.9268e-05,0.0013821,0.0013429,218.75,900,6.2009,0
3.921e-05,0.0013779,0.0013387,219.68,900,6.2274,0
3.9152e-05,0.0013737,0.0013345,220.61,900,6.2539,0
3.9093e-05,0.0013694,0.0013303,221.55,900,6.2804,0
3.9031e-05,0.0013652,0.0013261,222.48,900,6.3069,0
3.8957e-05,0.0013608,0.0013219,223.42,900,6.3333,0
3.8883e-05,0.0013565,0.0013176,224.35,900,6.3598,0
3.8809e-05,0.0013522,0.0013134,225.29,900,6.3863,0
3.8736e-05,0.0013479,0.0013092,226.22,900,6.4128,0
3.8657e-05,0.0013436,0.0013049,227.15,900,6.4393,0
3.8564e-05,0.0013393,0.0013007,228.09,900,6.4658,0
3.8472e-05,0.0013349,0.0012965,229.02,900,6.4922,0
3.8379e-05,0.0013306,0.0012922,229.96,900,6.5187,0
3.8287e-05,0.0013263,0.001288,230.89,900,6.5452,0
3.8191e-05,0.001322,0.0012838,231.83,900,6.5717,0
3.808e-05,0.0013177,0.0012796,232.76,900,6.5982,0
3.797e-05,0.0013135,0.0012755,233.69,900,6.6247,0
3.7859e-05,0.0013092,0.0012714,234.63,900,6.6512,0
3.7749e-05,0.001305,0.0012672,235.56,900,6.6776,0
3.7639e-05,0.0013007,0.0012631,236.5,900,6.7041,0
3.7531e-05,0.0012965,0.001259,237.43,900,6.7306,0
3.7423e-05,0.0012923,0.0012549,238.37,900,6.7571,0
3.7316e-05,0.0012881,0.0012507,239.3,900,6.7836,0
3.7208e-05,0.0012838,0.0012466,240.23,900,6.8101,0
3.7101e-05,0.0012796,0.0012425,241.17,900,6.8365,0
3.7013e-05,0.0012754,0.0012384,242.1,900,6.863,0
3.6931e-05,0.0012712,0.0012343,243.04,900,6.8895,0
3.6848e-05,0.001267,0.0012301,243.97,900,6.916,0
3.6766e-05,0.0012628,0.001226,244.91,900,6.9425,0
3.6683e-05,0.0012586,0.0012219,245.84,900,6.969,0
3.661e-05,0.0012543,0.0012177,246.77,900,6.9955,0
3.6547e-05,0.0012501,0.0012135,247.71,900,7.0219,0
3.6485e-05,0.0012458,0.0012093,248.64,900,7.0484,0
3.6423e-05,0.0012416,0.0012052,249.58,900,7.0749,0
3.636e-05,0.0012373,0.001201,250.51,900,7.1014,0
3.6298e-05,0.0012331,0.0011968,251.45,900,7.1279,0
3.624e-05,0.0012288,0.0011925,252.38,900,7.1544,0
3.6182e-05,0.0012245,0.0011883,253.31,900,7.1808,0
3.6124e-05,0.0012201,0.001184,254.25,900,7.2073,0
3.6066e-05,0.0012158,0.0011798,255.18,900,7.2338,0
3.6008e-05,0.0012115,0.0011755,256.12,900,7.2603,0
3.5952e-05,0.0012072,0.0011712,257.05,900,7.2868,0
3.5897e-05,0.0012027,0.0011669,257.99,900,7.3133,0
3.5842e-05,0.0011983,0.0011625,258.92,900,7.3397,0
3.5788e-05,0.0011939,0.0011581,259.85,900,7.3662,0
3.5733e-05,0.0011895,0.0011538,260.79,900,7.3927,0
3.5678e-05,0.0011851,0.0011494,261.72,900,7.4192,0
3.5627e-05,0.0011806,0.0011449,262.66,900,7.4457,0
3.5575e-05,0.001176,0.0011404,263.59,900,7.4722,0
3.5524e-05,0.0011714,0.0011358,264.53,900,7.4987,0
3.5473e-05,0.0011668,0.0011313,265.46,900,7.5251,0
3.5422e-05,0.0011622,0.0011268,266.39,900,7.5516,0
3.537e-05,0.0011576,0.0011222,267.33,900,7.5781,0
3.5315e-05,0.0011528,0.0011175,268.26,900,7.6046,0
3.526e-05,0.001148,0.0011127,269.2,900,7.6311,0
3.5205e-05,0.0011432,0.001108,270.13,900,7.6576,0
3.515e-05,0.0011384,0.0011033,271.07,900,7.684,0
3.5095e-05,0.0011336,0.0010985,272,900,7.7105,0
3.5038e-05,0.0011288,0.0010937,272.93,900,7.737,0
3.4978e-05,0.0011238,0.0010888,273.87,900,7.7635,0
3.4919e-05,0.0011188,0.0010839,274.8,900,7.79,0
3.4859e-05,0.0011138,0.001079,275.74,900,7.8165,0
3.4799e-05,0.0011088,0.001074,276.67,900,7.843,0
3.4739e-05,0.0011039,0.0010691,277.61,900,7.8694,0
