"Dissipation","Production","Points:0","Points:1","Points:2"
-6.4006e-05,4.1855e-05,900,6.3863,0
-6.3944e-05,4.1643e-05,900,6.4128,0
-6.3873e-05,4.1426e-05,900,6.4393,0
-6.3777e-05,4.1194e-05,900,6.4658,0
-6.3681e-05,4.0962e-05,900,6.4922,0
-6.3585e-05,4.073e-05,900,6.5187,0
-6.3489e-05,4.0497e-05,900,6.5452,0
-6.3387e-05,4.0263e-05,900,6.5717,0
-6.3261e-05,4.0017e-05,900,6.5982,0
-6.3135e-05,3.9772e-05,900,6.6247,0
-6.3009e-05,3.9527e-05,900,6.6512,0
-6.2883e-05,3.9281e-05,900,6.6776,0
-6.2757e-05,3.9036e-05,900,6.7041,0
-6.2632e-05,3.8799e-05,900,6.7306,0
-6.2508e-05,3.8562e-05,900,6.7571,0
-6.2383e-05,3.8325e-05,900,6.7836,0
-6.2258e-05,3.8088e-05,900,6.8101,0
-6.2134e-05,3.7851e-05,900,6.8365,0
-6.2038e-05,3.7638e-05,900,6.863,0
-6.195e-05,3.743e-05,900,6.8895,0
-6.1862e-05,3.7223e-05,900,6.916,0
-6.1773e-05,3.7015e-05,900,6.9425,0
-6.1685e-05,3.6808e-05,900,6.969,0
-6.1612e-05,3.6611e-05,900,6.9955,0
-6.1558e-05,3.6425e-05,900,7.0219,0
-6.1503e-05,3.6239e-05,900,7.0484,0
-6.1448e-05,3.6054e-05,900,7.0749,0
-6.1393e-05,3.5868e-05,900,7.1014,0
-6.1339e-05,3.5683e-05,900,7.1279,0
-6.1291e-05,3.5503e-05,900,7.1544,0
-6.1244e-05,3.5323e-05,900,7.1808,0
-6.1196e-05,3.5143e-05,900,7.2073,0
-6.1148e-05,3.4963e-05,900,7.2338,0
-6.1101e-05,3.4783e-05,900,7.2603,0
-6.1053e-05,3.4605e-05,900,7.2868,0
-6.1006e-05,3.4429e-05,900,7.3133,0
-6.0958e-05,3.4253e-05,900,7.3397,0
-6.0911e-05,3.4076e-05,900,7.3662,0
-6.0864e-05,3.39e-05,900,7.3927,0
-6.0816e-05,3.3724e-05,900,7.4192,0
-6.0774e-05,3.3548e-05,900,7.4457,0
-6.0733e-05,3.3373e-05,900,7.4722,0
-6.0691e-05,3.3198e-05,900,7.4987,0
-6.0649e-05,3.3022e-05,900,7.5251,0
-6.0608e-05,3.2847e-05,900,7.5516,0
-6.0566e-05,3.2671e-05,900,7.5781,0
-6.0518e-05,3.2492e-05,900,7.6046,0
-6.0471e-05,3.2312e-05,900,7.6311,0
-6.0424e-05,3.2133e-05,900,7.6576,0
-6.0377e-05,3.1954e-05,900,7.684,0
-6.033e-05,3.1774e-05,900,7.7105,0
-6.0277e-05,3.1592e-05,900,7.737,0
-6.0213e-05,3.1404e-05,900,7.7635,0
-6.0148e-05,3.1216e-05,900,7.79,0
-6.0084e-05,3.1029e-05,900,7.8165,0
-6.002e-05,3.0841e-05,900,7.843,0
-5.9955e-05,3.0653e-05,900,7.8694,0
-5.9883e-05,3.046e-05,900,7.8959,0
-5.9799e-05,3.026e-05,900,7.9224,0
-5.9715e-05,3.006e-05,900,7.9489,0
-5.9631e-05,2.986e-05,900,7.9754,0
-5.9547e-05,2.966e-05,900,8.0019,0
-5.9464e-05,2.946e-05,900,8.0283,0
-5.9367e-05,2.9252e-05,900,8.0548,0
-5.925e-05,2.9031e-05,900,8.0813,0
-5.9132e-05,2.8809e-05,900,8.1078,0
-5.9015e-05,2.8588e-05,900,8.1343,0
-5.8897e-05,2.8367e-05,900,8.1608,0
-5.878e-05,2.8146e-05,900,8.1873,0
-5.8651e-05,2.792e-05,900,8.2137,0
-5.8486e-05,2.7682e-05,900,8.2402,0
-5.8321e-05,2.7444e-05,900,8.2667,0
-5.8156e-05,2.7206e-05,900,8.2932,0
-5.7991e-05,2.6967e-05,900,8.3197,0
-5.7827e-05,2.6729e-05,900,8.3462,0
-5.7661e-05,2.6491e-05,900,8.3726,0
-5.7447e-05,2.6242e-05,900,8.3991,0
-5.7232e-05,2.5993e-05,900,8.4256,0
-5.7018e-05,2.5744e-05,900,8.4521,0
-5.6803e-05,2.5496e-05,900,8.4786,0
-5.6589e-05,2.5247e-05,900,8.5051,0
-5.6374e-05,2.4998e-05,900,8.5315,0
-5.6154e-05,2.4754e-05,900,8.558,0
-5.593e-05,2.4514e-05,900,8.5845,0
-5.5706e-05,2.4273e-05,900,8.611,0
-5.5483e-05,2.4032e-05,900,8.6375,0
-5.5259e-05,2.3791e-05,900,8.664,0
-5.5036e-05,2.3551e-05,900,8.6905,0
-5.482e-05,2.3317e-05,900,8.7169,0
-5.4631e-05,2.3106e-05,900,8.7434,0
-5.4442e-05,2.2896e-05,900,8.7699,0
-5.4254e-05,2.2686e-05,900,8.7964,0
-5.4065e-05,2.2476e-05,900,8.8229,0
-5.3876e-05,2.2265e-05,900,8.8494,0
-5.3688e-05,2.2055e-05,900,8.8758,0
-5.3521e-05,2.1861e-05,900,8.9023,0
-5.3365e-05,2.1675e-05,900,8.9288,0
-5.3209e-05,2.1489e-05,900,8.9553,0
-5.3053e-05,2.1303e-05,900,8.9818,0
-5.2897e-05,2.1117e-05,900,9.0083,0
