"tau_wall","y_plus","Points:0","Points:1","Points:2"
4.6691,0.12625,235.49,0.0035789,0
4.68,0.12625,236.36,0.0035789,0
4.6912,0.12625,237.23,0.0035789,0
4.7018,0.12625,238.1,0.0035789,0
4.7118,0.12625,238.97,0.0035789,0
4.722,0.12625,239.84,0.0035789,0
4.7328,0.12625,240.71,0.0035789,0
4.744,0.12625,241.58,0.0035789,0
4.7554,0.12625,242.45,0.0035789,0
4.7677,0.12625,243.31,0.0035789,0
4.7796,0.12625,244.18,0.0035789,0
4.7909,0.12625,245.05,0.0035789,0
4.8023,0.12625,245.92,0.0035789,0
4.814,0.12625,246.79,0.0035789,0
4.8262,0.12625,247.66,0.0035789,0
4.8384,0.12625,248.53,0.0035789,0
4.8513,0.12625,249.4,0.0035789,0
4.8656,0.12625,250.27,0.0035789,0
4.8809,0.12625,251.14,0.0035789,0
4.8963,0.12625,252.01,0.0035789,0
4.9106,0.12625,252.88,0.0035789,0
4.9243,0.12625,253.75,0.0035789,0
4.9396,0.12625,254.62,0.0035789,0
4.9558,0.12625,255.49,0.0035789,0
4.972,0.12625,256.36,0.0035789,0
4.9882,0.12625,257.23,0.0035789,0
5.0055,0.12625,258.1,0.0035789,0
5.0238,0.12625,258.97,0.0035789,0
5.0425,0.12625,259.84,0.0035789,0
5.0618,0.12625,260.71,0.0035789,0
5.0808,0.12625,261.58,0.0035789,0
5.0993,0.12625,262.45,0.0035789,0
5.1171,0.12625,263.32,0.0035789,0
5.136,0.12625,264.19,0.0035789,0
5.156,0.12625,265.06,0.0035789,0
5.1772,0.12625,265.93,0.0035789,0
5.1989,0.12625,266.8,0.0035789,0
5.2201,0.12625,267.67,0.0035789,0
5.2415,0.12625,268.54,0.0035789,0
5.2652,0.12625,269.41,0.0035789,0
5.291,0.12625,270.28,0.0035789,0
5.3177,0.12625,271.15,0.0035789,0
5.3439,0.12625,272.02,0.0035789,0
5.3687,0.12625,272.89,0.0035789,0
5.3928,0.12625,273.76,0.0035789,0
5.4159,0.12625,274.63,0.0035789,0
5.44,0.12625,275.5,0.0035789,0
5.465,0.12625,276.37,0.0035789,0
5.4899,0.12625,277.24,0.0035789,0
5.5163,0.12625,278.11,0.0035789,0
5.5454,0.12625,278.98,0.0035789,0
5.5768,0.12625,279.85,0.0035789,0
5.6077,0.12625,280.72,0.0035789,0
5.6385,0.12625,281.59,0.0035789,0
5.6697,0.12625,282.46,0.0035789,0
5.7021,0.12625,283.32,0.0035789,0
5.7347,0.12625,284.19,0.0035789,0
5.7667,0.12625,285.06,0.0035789,0
5.798,0.12625,285.93,0.0035789,0
5.8289,0.12625,286.8,0.0035789,0
5.8601,0.12625,287.67,0.0035789,0
5.8907,0.12625,288.54,0.0035789,0
5.9215,0.12625,289.41,0.0035789,0
5.9513,0.12625,290.28,0.0035789,0
5.9816,0.12625,291.15,0.0035789,0
6.0132,0.12625,292.02,0.0035789,0
6.0445,0.12625,292.89,0.0035789,0
6.0755,0.12625,293.76,0.0035789,0
6.1068,0.12625,294.63,0.0035789,0
6.1377,0.12625,295.5,0.0035789,0
6.1683,0.12625,296.37,0.0035789,0
6.1999,0.12625,297.24,0.0035789,0
6.2341,0.12625,298.11,0.0035789,0
