"RUU","RUV","RUW","RVV","RVW","RWW","TKE","y_plus","Points:0","Points:1","Points:2"
0.0065596,-0.0017563,7.5691e-06,0.0023464,9.1334e-06,0.00362,0.006263,75.802,900,2.1488,0
0.0065354,-0.001756,6.6481e-06,0.002348,9.6333e-06,0.0036138,0.0062486,76.737,900,2.1753,0
0.0065114,-0.0017556,5.3311e-06,0.0023493,1.0147e-05,0.0036074,0.0062341,77.671,900,2.2018,0
0.0064878,-0.0017552,3.9416e-06,0.0023506,1.0659e-05,0.003601,0.0062197,78.605,900,2.2283,0
0.0064656,-0.0017547,2.3007e-06,0.0023515,1.1164e-05,0.0035943,0.0062057,79.539,900,2.2548,0
0.0064433,-0.0017542,6.4774e-07,0.0023523,1.166e-05,0.0035876,0.0061916,80.474,900,2.2812,0
0.0064208,-0.0017537,-1.0535e-06,0.0023529,1.2117e-05,0.0035806,0.0061771,81.408,900,2.3077,0
0.0063986,-0.0017531,-2.7351e-06,0.0023534,1.2565e-05,0.0035736,0.0061628,82.342,900,2.3342,0
0.0063784,-0.0017524,-4.2929e-06,0.0023535,1.2953e-05,0.0035664,0.0061492,83.277,900,2.3607,0
0.0063582,-0.0017517,-5.8435e-06,0.0023537,1.3338e-05,0.0035592,0.0061356,84.211,900,2.3872,0
0.0063382,-0.0017509,-7.1714e-06,0.0023536,1.3658e-05,0.0035519,0.0061218,85.145,900,2.4137,0
0.0063183,-0.0017501,-8.4992e-06,0.0023535,1.3978e-05,0.0035445,0.0061081,86.079,900,2.4401,0
0.0062993,-0.0017491,-9.5952e-06,0.0023531,1.4241e-05,0.0035372,0.0060948,87.014,900,2.4666,0
0.0062804,-0.0017481,-1.0661e-05,0.0023527,1.4497e-05,0.0035298,0.0060815,87.948,900,2.4931,0
0.0062612,-0.001747,-1.1447e-05,0.0023521,1.4685e-05,0.0035226,0.006068,88.882,900,2.5196,0
0.0062419,-0.0017459,-1.2109e-05,0.0023515,1.4844e-05,0.0035154,0.0060544,89.816,900,2.5461,0
0.0062234,-0.0017446,-1.2516e-05,0.0023507,1.4935e-05,0.0035083,0.0060412,90.751,900,2.5726,0
0.006206,-0.0017433,-1.262e-05,0.0023499,1.4945e-05,0.0035013,0.0060286,91.685,900,2.599,0
0.0061887,-0.0017419,-1.2633e-05,0.002349,1.4927e-05,0.0034943,0.006016,92.619,900,2.6255,0
0.0061712,-0.0017404,-1.2219e-05,0.002348,1.4777e-05,0.0034873,0.0060033,93.554,900,2.652,0
0.0061538,-0.0017389,-1.1806e-05,0.002347,1.4626e-05,0.0034804,0.0059906,94.488,900,2.6785,0
0.0061373,-0.0017372,-1.1085e-05,0.002346,1.437e-05,0.0034735,0.0059783,95.422,900,2.705,0
0.0061209,-0.0017356,-1.0311e-05,0.0023448,1.4094e-05,0.0034665,0.0059661,96.356,900,2.7315,0
0.0061046,-0.0017339,-9.4267e-06,0.0023437,1.3776e-05,0.0034596,0.0059539,97.291,900,2.758,0
0.0060883,-0.0017321,-8.4216e-06,0.0023424,1.341e-05,0.0034526,0.0059417,98.225,900,2.7844,0
0.0060721,-0.0017304,-7.4085e-06,0.0023412,1.3039e-05,0.0034457,0.0059295,99.159,900,2.8109,0
0.0060568,-0.0017287,-6.2655e-06,0.0023398,1.2581e-05,0.0034389,0.0059177,100.09,900,2.8374,0
0.0060416,-0.0017269,-5.1225e-06,0.0023384,1.2123e-05,0.0034321,0.005906,101.03,900,2.8639,0
0.006027,-0.0017252,-3.9482e-06,0.0023369,1.1609e-05,0.0034254,0.0058946,101.96,900,2.8904,0
0.0060128,-0.0017234,-2.752e-06,0.0023353,1.1055e-05,0.0034189,0.0058835,102.9,900,2.9169,0
0.0059987,-0.0017217,-1.5576e-06,0.0023337,1.0499e-05,0.0034124,0.0058724,103.83,900,2.9433,0
